Data Series,2025 3Q ,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q 
      Central Provident Fund (CPF),649338.4,635381.5,622696.2,609461.6,593503.1,583860.1,580215.1,571044,563340.5,556495.8,548896.1,544823.7,540205.2,530340.5,519172.7,505718.8,495629.5,485201.2,473973.8,462130.6,453047.7,444814.2,435353.2,425110.2,417482.9,409361.5,400875.5,391117.5,383965,376635.4,368453.7,359514.6,353085.1,345711.5,337980,328895.3,322067.5,314837.9,307682.8,299522.4,293913.6,288304.5,282409,275363.9,270159.2,264767.6,259565.6,252968.6,248110.2,242503.4,237160.5,230157.7,224720.3,219267.4,214127.9,207545.5,202677.4,197666.2,192102.9,185888,181712.1,176596,172094.3,166804,163593.4,159777.4,156096,151307.1,147439.8,143399.8,139790.4,136879.9,134159.7,131449.5,129040.2,126082.4,124602.5,122890.9,122058.3,120070.3,118757.1,117239.8,115172.3,112160.3,109994.6,107795.8,106273.2,103833.3,102371.2,100574.6,98935.1,96720.9,95674.9,94822,93987.4,92519.7,90873.3,90111.2,90675,90583,89792.7,89278.8,89706.4,88684.9,88850.4,88396.1,87687.4,85567.9,83470.7,82650.8,82077.1,79959.1,78077.6,76765.5,75879.8,72882,70509.3,70517.1,69103.4,66343.6,64259.3,62055.2,60080
      Pension Funds,17184,17110.5,17080,17022.1,16882.2,16742.4,16684.5,16648.5,16561.6,16474.8,16438.8,16487.5,16605,16722.5,16771.2,16739.6,16663.3,16587,16555.4,16602.8,16717.4,16832,16879.4,16864.5,16828.5,16792.5,16777.6,16753.5,16695.4,16637.2,16613.1,16556.1,16418.4,16280.7,16223.7,16180.1,16074.9,15969.8,15926.2,15687,15109.4,14531.8,14292.5,14263.7,14194.2,14124.7,14095.9,14078.4,14036.2,13993.9,13976.4,13955.7,13905.9,13856,13835.3,13692.7,13348.4,13004.1,12861.5,12752.6,12489.6,12226.6,12117.7,12136.7,12182.5,12228.4,12247.3,12322,12502.1,12682.2,12756.9,12803.4,12915.7,13027.9,13074.4,13096.6,13150,13203.4,13225.6,13186,13090.6,12995.1,12955.6,12944,12915.8,12887.7,12876.1,12856.2,12808.3,12760.4,12740.5,12706.6,12624.8,12542.9,12509,12352.7,12570.3,12787.9,12878.1,12955.8,13143.4,13331,13408.7,13188.2,12655.6,12123.1,11902.5,11263.1,11889.8,12516.6,12776.2,12639.2,12308.4,11977.6,11840.5,11792.1,11675.3,11558.4,11510,11231.8,10560,9888.2,9610
    Residential Property Assets,1583577,1561401.1,1539350.4,1509695.8,1471959.6,1457385.2,1428279.8,1394483.1,1351961.8,1337894.1,1322401.9,1277761.9,1260749.6,1224677.1,1183624.3,1164320.3,1117213.2,1092965.1,1071930.4,1026233.8,1000641.2,981489.7,978583.4,981420.3,971917.6,956627.1,949027.8,946965.5,948535.2,942120.6,917403.6,894540.1,886982.5,875431.2,869675.4,862224.9,855262.6,851031.5,843686.2,833489.7,831637,825128.8,823820.2,818710.5,823929.9,826293,824590.1,828415.5,836891.2,835830.5,823207.2,813189.9,793255.7,779624.3,768093.9,760106.1,751094.2,727977.5,704676.5,689351,665931.3,639642,607133.5,576056.3,543123.2,502023.1,505365.5,539616.4,546323.1,539962.7,526753.3,506099.5,479341.7,446664.9,421883,407777.5,399419.3,396271.4,390301.6,384210.4,380182.3,373384.8,381496.7,381718.7,376579.1,377777.3,371835.3,370679.5,368047.9,366750.6,362266.5,359894.2,358974.1,349043.7,348064,350165,356410.5,360753.4,365763,376483.7,382039.3,380779.8,378751.6,364718.6,351036.5,317860,296160.9,289373.4,304789.9,320853.1,339131.4,362943.6,379844.8,386656.6,387573,391945.6,390571.3,387577.5,354823.6,332639.3,312958.5,305289.2,287761.5
      Public Housing,700533.1,690919.3,683110.4,666759,649542.8,632565.2,613944.4,600673.7,593995.5,586981.3,577220.3,566165,553154.9,544123.3,526145.1,516878.3,501181.2,487378.2,470596.7,451533.2,434417.6,424805,424221.2,425696.5,423738.9,417951.7,418764.1,420062,421013.9,422192.2,418852.4,421000.6,420977.5,418072.8,415056.8,413575.6,411419.7,409120.4,404755.3,400951.4,397318,394521.5,395330.8,394669.3,400868.4,405610.7,406382.7,412752.5,421150.2,425400.9,419425.2,415738.5,405937.1,397181.3,391921.8,389420.4,382803.9,367830.3,354819.2,349156.4,339223.4,327985.1,314498.4,304977.7,291606.5,283346.7,277369.2,281179.9,279157.3,268697.7,257732.8,245922.1,231041.1,215582.4,208322.1,203588.4,201623.3,203200.1,201223.4,199916.6,199129.5,196117.8,205962.3,208157.3,206009.3,211190.2,208585.4,207489.9,205093.5,204706.1,200420.2,197766.9,197766.9,189650.4,189254,190015.1,192777.5,193462.9,196567.7,200902.4,205498.9,203281.9,205876.2,200215.8,195863.3,176511.9,174038.3,175203.6,181511,178633.3,186385.6,196831.9,209285.5,210251.2,212433.2,211176.6,205623.4,195375.3,173148.8,156472,143727,135742.1,121615.1
      Private Housing,883043.9,870481.8,856240,842936.8,822416.8,824820,814335.4,793809.4,757966.3,750912.8,745181.6,711596.9,707594.7,680553.8,657479.2,647442,616032,605586.9,601333.7,574700.6,566223.6,556684.7,554362.2,555723.8,548178.7,538675.4,530263.7,526903.5,527521.3,519928.4,498551.2,473539.5,466005,457358.4,454618.6,448649.3,443842.9,441911.1,438930.9,432538.3,434319,430607.3,428489.4,424041.2,423061.5,420682.3,418207.4,415663,415741,410429.6,403782,397451.4,387318.6,382443,376172.1,370685.7,368290.3,360147.2,349857.3,340194.6,326707.9,311656.9,292635.1,271078.6,251516.7,218676.4,227996.3,258436.5,267165.8,271265,269020.5,260177.4,248300.6,231082.5,213560.9,204189.1,197796,193071.3,189078.2,184293.8,181052.8,177267,175534.4,173561.4,170569.8,166587.1,163249.9,163189.6,162954.4,162044.5,161846.3,162127.3,161207.2,159393.3,158810,160149.9,163633,167290.5,169195.3,175581.3,176540.4,177497.9,172875.4,164502.8,155173.2,141348.1,122122.6,114169.8,123278.9,142219.8,152745.8,166111.7,170559.3,176405.4,175139.8,180769,184947.9,192202.2,181674.8,176167.3,169231.5,169547.1,166146.4
  Liabilities,398606.6,390399.6,383533.6,379503.3,373996.8,368323.5,364959.8,364286.8,361274.2,359845.3,358502.8,360402.6,363401.4,361781.9,358655,357522.2,352038.5,344011.3,337811.9,333003.9,329308.5,327494.1,332808.2,339320.9,338447.2,339888.7,342590.7,344550.4,344220.5,343661.9,342730.2,340424.3,334522,329965.5,326458.6,324602.4,323722.3,320223.1,316534.4,317149.7,314781.8,312997.5,311774.7,310121.9,306533.1,302039.8,297167.1,294397.2,289054.7,284817.2,280437,275436.4,267191.8,259239.3,252669.1,246963.3,241367.3,233628,224196.8,219409.2,212592.3,206048.8,200025.9,197254.1,192120.9,188976.5,185913.9,185708.9,184292.8,181941.1,178784,178138.5,174182.9,168751.9,166325.6,165579.7,164991.3,164907.9,165220.9,166012.2,165811.1,165062.2,164850.2,164681.1,164164.9,163369.1,162349.9,162124.7,160504.5,159105.9,157780.1,154892.5,153396.8,152423.5,151295.1,151173.9,149191.2,146981.4,145408.9,143479.6,140417.8,137203.6,134499.4,131588,128728.2,125526.7,122325.8,120029.9,116211.9,113530.2,110152.4,107723.2,104816.8,100375.1,96282.3,92545.1,89136.6,85912.9,81444,77433.1,73522,69853.7,66560.7
    Mortgage Loans,287870.1,284257.5,280015.6,277406,274729.2,270319.2,269258.9,269043.3,266682.9,264888.7,263352.1,262949.3,261121.4,259360.8,256871.8,254718.8,251434.7,247445.8,243608.1,241726.2,240151.9,241260.1,242474,243111.2,243503.3,244347.1,245584.1,246616.6,245939.3,245206.1,244165.2,242508.8,238674.3,236182.5,234648,233195.2,229901.5,227939,225796.2,224780.3,222782.4,220020.9,218714.5,216839.2,213639.1,210829.1,207688.5,205502.6,202954.8,199604.1,196800.1,193114,186779.3,182164,177709.3,174681.9,170697,165944.2,162071.9,158405.5,153463.7,148370.8,142941.5,140241.5,136357.7,132594.7,130845.7,130227.1,128978.7,127796.5,126756.8,126335.6,124210.6,120651.6,119181.4,118758.1,118652.4,118640.1,119140.4,119383.7,118792.1,118632.7,118822.7,118350.1,118258.6,116899.4,116118.6,115132.4,114007.9,112984.1,112401,112035.5,110725.7,110205.2,109087,107838.3,106462,104979.5,103798.4,102452.6,100385.6,98738.1,96757.6,94995.9,92560.3,89703.7,86678.4,83638.2,80088.2,76816.1,73499.4,70267.9,67161.8,63766.3,61066.4,58331.3,55945.4,52849.2,49618.5,46772.5,44323.7,41943.3,39786.7
      Financial Institutions,241452.2,238742,235238.1,233391.5,231032.1,227527.3,226912,227427.4,225650.8,224421.8,223885.4,224477.6,223234.7,221711.9,218956.9,216353.1,212729.4,208610.4,205689.1,203183.1,200977,201464.5,202280.3,202765.5,203296.2,204185.9,205280.2,206192.4,205753.6,204922.6,203518.4,202116.3,198945.9,196781.2,195110.3,194155.1,191132.5,189374,187583.4,186911.3,185071.9,182511.5,181348.5,179661.2,176700.2,174030,171076.2,168740.5,165960.2,162075.2,158710.8,154178.3,147287.5,142103.9,137344.3,133698.1,129326.2,124108.3,119637.2,115358.8,109800.2,103951.5,97841.1,94382.3,90098.2,85890.7,83760.1,82626.5,80662.4,78906.6,77116.6,76055.3,73312.5,69057,66995.9,65973.6,65290.7,64685.6,64621.5,64427.4,63401.1,62822.8,62271.1,60938.8,59945.6,57750.9,56244.9,54244.3,52120.3,49997.7,48170.7,47625.7,46757.4,46725,46165.5,45615,44990.5,44259.4,43745.2,43164.7,42176.8,41492.5,40662.7,40114.9,39309,38456.8,37586.3,36959.2,36210.4,35447,34741.1,34089.9,32953.7,31528.2,30798.2,30033.1,29371,27998.6,26491.7,25369.5,24160,23018.8,22101.4
      Housing & Development Board (HDB),46417.9,45515.5,44777.5,44014.5,43697.1,42791.9,42346.9,41615.9,41032.1,40466.9,39466.7,38471.7,37886.7,37648.9,37914.9,38365.7,38705.3,38835.4,37919,38543.1,39174.9,39795.6,40193.7,40345.7,40207.1,40161.2,40303.9,40424.2,40185.7,40283.5,40646.8,40392.5,39728.4,39401.3,39537.7,39040.1,38769,38565,38212.8,37869,37710.5,37509.4,37366,37178,36938.9,36799.1,36612.3,36762.1,36994.6,37528.9,38089.3,38935.7,39491.8,40060.1,40365,40983.8,41370.8,41835.9,42434.7,43046.7,43663.5,44419.3,45100.4,45859.2,46259.5,46704,47085.6,47600.6,48316.3,48889.9,49640.2,50280.3,50898.1,51594.6,52185.5,52784.5,53361.7,53954.5,54518.9,54956.3,55391,55809.9,56551.6,57411.3,58313,59148.5,59873.7,60888.1,61887.6,62986.4,64230.3,64409.8,63968.3,63480.2,62921.5,62223.3,61471.5,60720.1,60053.2,59287.9,58208.8,57245.6,56094.9,54881,53251.3,51246.9,49092.1,46679,43877.8,41369.1,38758.3,36178,34208.1,32238.1,30268.2,28298.2,26574.4,24850.6,23126.8,21403,20163.8,18924.5,17685.3
    Personal Loans,110736.5,106142.1,103517.9,102097.3,99267.6,98004.3,95701,95243.4,94591.3,94956.6,95150.7,97453.2,102280,102421.2,101783.2,102803.5,100603.8,96565.5,94203.8,91277.7,89156.6,86234,90334.2,96209.7,94943.9,95541.6,97006.6,97933.8,98281.2,98455.8,98565,97915.5,95847.6,93783,91810.6,91407.2,93820.7,92284.1,90738.2,92369.4,91999.4,92976.6,93060.1,93282.7,92894,91210.7,89478.6,88894.6,86099.9,85213,83636.9,82322.4,80412.5,77075.3,74959.8,72281.4,70670.2,67683.8,62124.9,61003.7,59128.5,57677.9,57084.4,57012.5,55763.2,56381.8,55068.2,55481.8,55314.1,54144.6,52027.2,51802.9,49972.3,48100.3,47144.2,46821.6,46338.9,46267.8,46080.6,46628.5,47019,46429.5,46027.5,46331,45906.3,46469.7,46231.3,46992.3,46496.6,46121.8,45379.2,42857,42671.1,42218.3,42208,43335.6,42729.2,42001.9,41610.5,41027,40032.2,38465.5,37741.7,36592.1,36167.9,35823.1,35647.5,36391.7,36123.7,36714,36653,37455.3,37655,36608.8,35215.9,34213.8,33191.3,33063.7,31825.5,30660.6,29198.2,27910.4,26774
      Motor Vehicle,11873.6,11410.1,10950.3,10637.2,10460.1,10173.3,9896.7,9828.5,9806.5,9744.7,9658.1,9704.1,9915.9,10063.2,10216,10323.6,10423.1,10486.3,10515.8,10479.9,10453.2,10471.2,11104.4,11203.8,11285.9,11320.6,11203.4,11097.7,10961,10850.3,10515.7,10441.9,10123.7,9999,9777.2,9748.1,9662.7,9617,9613.9,9593.1,9616.1,9776.1,9914.3,10265,10695.3,11205.2,11814.5,12433,13084,13740.4,14123.1,14324.7,14374.4,14372.3,14331.2,14449.2,14526.4,14694,14813.7,15075.7,15225.2,15514.4,15840.9,15988.3,16183.9,16576.2,16891.1,17026.9,16879.5,16884,16582,16450.9,16322.8,16191,15995.2,15740.6,15732,15723.2,15605.2,15703.6,15769.4,15594.9,15280.6,15215.9,14837,14762.6,14444.4,14235.7,14402,14366.6,14286.5,14331.3,14248.3,14109.2,14140.4,14436.4,14215.9,13906.3,13640.4,13787.2,13506.6,12828.9,12384.2,11697.4,11335.2,11048.5,11010.6,11115.7,11104.9,11405.3,11471.8,11581.7,11623.6,11395.2,11103.8,10688.2,10380.2,10332.9,10070.3,9600,9374.7,9042.4,8817
      Credit/Charge Cards,17037.9,16684.1,16241.5,16621.5,15587.8,15220.7,14609.9,14925.6,13736.5,13289.2,12614.1,13178.6,12126.8,11611.1,10803.1,11205.5,10450,10062.7,10409.5,10918.1,10426.2,10008.9,11221.9,12626.2,12053.5,12071.3,11744.9,12289.5,11791.3,11635.9,11344.5,11624.9,11006.5,11176.7,10872.2,11439.7,10895.6,10814.7,10430.6,10873.7,10511.3,10320,10538.9,11046.3,10583.7,10440.4,10035.1,10537.5,9892.1,9770.5,9247.6,9503.6,8948.7,8654.6,8175.2,8358.1,7746.9,7540.7,7126.8,7307.9,6690.7,6455.1,6311.1,6538.8,6123.3,5870.3,5543.1,5832.4,5497.7,5262.5,4836.1,5022.7,4604.1,4563.2,4260.3,4433.2,4073.4,4021,3841.9,4029.1,3712.2,3686.2,3514.9,3755.2,3581.1,3549.2,3449.3,3788.3,3353.3,3318.6,3177.6,3416.6,3096.6,3034.7,2886.2,3025.1,2680.4,2669.1,2527.7,2688.2,2359.4,2298.6,2124.6,2245.1,1957,1963.8,1787.9,1861.4,1638.9,1710.9,1587,1814.4,1580.2,1554.1,1426.1,1581.4,1382.3,1439.6,1333.3,1443.3,1250.9,1241.9,1144.1
      Others,81824.9,78047.9,76326.2,74838.6,73219.7,72610.4,71194.3,70489.3,71048.3,71922.6,72878.5,74570.5,80237.3,80746.9,80764.1,81274.4,79730.8,76016.5,73278.5,69879.7,68277.2,65754,68007.9,72379.7,71604.5,72149.6,74058.3,74546.7,75528.9,75969.5,76704.7,75848.6,74717.5,72607.3,71161.2,70219.4,73262.4,71852.4,70693.7,71902.6,71871.9,72880.5,72607,71971.3,71615,69565.1,67629,65924.1,63123.8,61702.1,60266.3,58494.1,57089.3,54048.4,52453.4,49474.2,48397,45449.2,40184.5,38620.1,37212.6,35708.4,34932.5,34485.5,33456,33935.3,32634,32622.4,32936.9,31998.1,30609.1,30329.3,29045.3,27346.1,26888.7,26647.8,26533.4,26523.6,26633.4,26895.8,27537.3,27148.5,27232,27359.9,27488.2,28157.9,28337.6,28968.3,28741.3,28436.6,27915.1,25109,25326.3,25074.4,25181.4,25874.2,25833,25426.5,25442.4,24551.6,24166.1,23337.9,23233,22649.7,22875.7,22810.8,22849,23414.5,23379.9,23597.9,23594.2,24059.3,24451.2,23659.5,22686,21944.2,21428.8,21291.1,20422,19617.2,18572.6,17626.1,16812.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Net Worth -> Assets -> Financial Assets -> Central Provident Fund (CPF) (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CPF refers to total amount due to members (net of withdrawals).  Prior to 2008, data includes contributions to NUS Academic Staff Provident Fund scheme.  The scheme was dissolved in end-2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Net Worth -> Liabilities -> Personal Loans -> Others (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Examples of other personal loans include education loans, renovation loans, pawnshop loans, overdrafts and loans extended to individuals for investment and business purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Sector:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All household institutional units that have engaged in economic activities in Singapore for at least a year, including: Singapore citizens, permanent residents, foreigners, and unincorporated enterprises (e.g., sole proprietorships).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 31/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
